Australian Bureau of Statistics,,,,,,,,,
State Suburbs 2011 to State Suburbs 2016,,,,,,,,,
,,,,,,,,,
Table 2 QI indicator,,,,,,,,,
,,,,,,,,,
SSC_CODE_2016,SSC_NAME_2016,QI_INDICATOR,,,,,,,
10602,Brooman,Poor,,,,,,,
10603,Brooms Head,Good,,,,,,,
10604,Broughams Gate,Poor,,,,,,,
10605,Broughton (NSW),Poor,,,,,,,
10606,Broughton Vale,Poor,,,,,,,
10607,Broughton Village,Poor,,,,,,,
10608,Broulee,Good,,,,,,,
10609,Brownlow Hill,Good,,,,,,,
10610,Browns Creek,Poor,,,,,,,
10611,Browns Mountain,Poor,,,,,,,
10612,Brownsville,Good,,,,,,,
10613,Brucedale,Poor,,,,,,,
10614,Bruie Plains,Poor,,,,,,,
10615,Bruinbun,Poor,,,,,,,
10616,Brumby Plains,Poor,,,,,,,
10617,Brundee,Poor,,,,,,,
10618,Brungle,Poor,,,,,,,
10619,Brungle Creek,Poor,,,,,,,
10620,Brunkerville,Poor,,,,,,,
10621,Brunswick Heads,Good,,,,,,,
10622,Brushgrove,Acceptable,,,,,,,
10623,Brushy Creek,Poor,,,,,,,
10624,Buangla,Poor,,,,,,,
10625,Bucca (NSW),Good,,,,,,,
10626,Bucca Wauka,Poor,,,,,,,
10627,Buccarumbi,Poor,,,,,,,
10628,Buchanan (NSW),Poor,,,,,,,
10629,Buckajo,Poor,,,,,,,
10630,Buckaroo,Poor,,,,,,,
10631,Buckenbowra,Poor,,,,,,,
10632,Buckenderra,Poor,,,,,,,
10633,Buckendoon,Poor,,,,,,,
10634,Bucketty,Poor,,,,,,,
10635,Buckra Bendinni,Poor,,,,,,,
